04-01-2020 10:15:51.925 [main] INFO  o.b.BibliothequeApplication.logStarting - Starting BibliothequeApplication on DESKTOP-6UCL7NI with PID 1244 (started by CELIM in F:\Depot GitHub\SI-GESTION-DES-BIBLIOTHEQUES-V2.0\oc-bibliotheque-webapplication)
04-01-2020 10:15:51.941 [main] INFO  o.b.BibliothequeApplication.logStartupProfileInfo - The following profiles are active: dev
04-01-2020 10:15:53.332 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$403f7f3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
04-01-2020 10:15:53.363 [main] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping.afterPropertiesSet - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
04-01-2020 10:15:53.607 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
04-01-2020 10:15:53.623 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
04-01-2020 10:15:53.623 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.17]
04-01-2020 10:15:53.717 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
04-01-2020 10:15:53.717 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 955 ms
04-01-2020 10:15:53.905 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 10:15:54.018 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 10:15:54.122 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 10:15:54.122 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 10:15:54.140 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 10:15:54.146 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 10:15:54.194 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 10:15:54.301 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6f89292e, org.springframework.security.web.context.SecurityContextPersistenceFilter@61f80d55, org.springframework.security.web.header.HeaderWriterFilter@6401d0a0, org.springframework.security.web.authentication.logout.LogoutFilter@1cb37ee4, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3f93e4a8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@280e8a1a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64a4dd8d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@20749d9, org.springframework.security.web.session.SessionManagementFilter@71dfcf21, org.springframework.security.web.access.ExceptionTranslationFilter@29528a22, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2e2f720]
04-01-2020 10:15:54.398 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
04-01-2020 10:15:55.157 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
04-01-2020 10:15:55.159 [main] INFO  o.b.BibliothequeApplication.logStarted - Started BibliothequeApplication in 4.044 seconds (JVM running for 5.174)
04-01-2020 11:04:20.096 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
04-01-2020 11:04:20.097 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
04-01-2020 11:04:20.105 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 8 ms
04-01-2020 11:04:21.231 [http-nio-8080-exec-1] WARN  n.n.u.t.e.ExpressionProcessor.defaultCall - Fragment expression "layout" is being wrapped as a Thymeleaf 3 fragment expression (~{...}) for backwards compatibility purposes.  This wrapping will be dropped in the next major version of the expression processor, so please rewrite as a Thymeleaf 3 fragment expression to future-proof your code.  See https://github.com/thymeleaf/thymeleaf/issues/451 for more information.
04-01-2020 11:04:22.323 [http-nio-8080-exec-7] WARN  n.n.u.t.d.DecoratorProcessor.defaultCall - The layout:decorator/data-layout-decorator processor has been deprecated and will be removed in the next major version of the layout dialect.  Please use layout:decorate/data-layout-decorate instead to future-proof your code.  See https://github.com/ultraq/thymeleaf-layout-dialect/issues/95 for more information.
04-01-2020 11:04:33.139 [http-nio-8080-exec-2] INFO  o.bibliotheque.client.OuvrageClient.login - LoginResponse : SUCCESS
04-01-2020 11:48:30.602 [main] INFO  o.b.BibliothequeApplication.logStarting - Starting BibliothequeApplication on DESKTOP-6UCL7NI with PID 10576 (started by CELIM in F:\Depot GitHub\SI-GESTION-DES-BIBLIOTHEQUES-V2.0\oc-bibliotheque-webapplication)
04-01-2020 11:48:30.605 [main] INFO  o.b.BibliothequeApplication.logStartupProfileInfo - The following profiles are active: dev
04-01-2020 11:48:31.526 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$b84ab94e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
04-01-2020 11:48:31.550 [main] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping.afterPropertiesSet - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
04-01-2020 11:48:31.789 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
04-01-2020 11:48:31.810 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
04-01-2020 11:48:31.810 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.17]
04-01-2020 11:48:31.886 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
04-01-2020 11:48:31.886 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1030 ms
04-01-2020 11:48:32.081 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:48:32.090 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:48:32.157 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:48:32.159 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:48:32.165 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:48:32.169 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:48:32.209 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:48:32.292 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62566842, org.springframework.security.web.context.SecurityContextPersistenceFilter@35dd9ed3, org.springframework.security.web.header.HeaderWriterFilter@b016b4e, org.springframework.security.web.authentication.logout.LogoutFilter@784c5ef5, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@70101687, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@363f0ba0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7a22a3c2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2f1ea80d, org.springframework.security.web.session.SessionManagementFilter@681adc8f, org.springframework.security.web.access.ExceptionTranslationFilter@5782d777, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@680d4a6a]
04-01-2020 11:48:32.387 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
04-01-2020 11:48:32.712 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
04-01-2020 11:48:32.714 [main] INFO  o.b.BibliothequeApplication.logStarted - Started BibliothequeApplication in 2.414 seconds (JVM running for 3.029)
04-01-2020 11:50:34.512 [main] INFO  o.b.BibliothequeApplication.logStarting - Starting BibliothequeApplication on DESKTOP-6UCL7NI with PID 11364 (started by CELIM in F:\Depot GitHub\SI-GESTION-DES-BIBLIOTHEQUES-V2.0\oc-bibliotheque-webapplication)
04-01-2020 11:50:34.515 [main] INFO  o.b.BibliothequeApplication.logStartupProfileInfo - The following profiles are active: dev
04-01-2020 11:50:35.298 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$98768bc4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
04-01-2020 11:50:35.321 [main] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping.afterPropertiesSet - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
04-01-2020 11:50:35.549 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
04-01-2020 11:50:35.572 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
04-01-2020 11:50:35.572 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.17]
04-01-2020 11:50:35.651 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
04-01-2020 11:50:35.652 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 923 ms
04-01-2020 11:50:35.858 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:50:35.867 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:50:35.932 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:50:35.934 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:50:35.941 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:50:35.948 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:50:35.986 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:50:36.069 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4f824872, org.springframework.security.web.context.SecurityContextPersistenceFilter@33f98231, org.springframework.security.web.header.HeaderWriterFilter@20e6c4dc, org.springframework.security.web.authentication.logout.LogoutFilter@7a5b769b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6f9ad11c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@557286ad, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@8d7b252, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@b016b4e, org.springframework.security.web.session.SessionManagementFilter@4d2a1da3, org.springframework.security.web.access.ExceptionTranslationFilter@2d000e80, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6de0f580]
